mz,int,formula
261.043832,15.6,C10H14O6S1
261.055717,50.1,C17H10O3
261.06159,148.1,C10H14O8
261.076846,553.1,C14H14O5
261.092103,3.8,C18H14O2
261.097976,7.4,C11H18O7
261.113232,354,C15H18O4
261.149617,110.8,C16H22O3
262.03571,93.1,C12H9N1O6
262.072095,84.4,C13H13N1O5
262.108481,9.4,C14H17N1O4
262.98334,15.3,C11H4O8
263.019726,712.6,C12H8O7
263.023097,32.9,C9H12O7S1
263.034982,96.8,C16H8O4
263.040855,43.3,C9H12O9
263.056111,850,C13H12O6
263.059482,6.8,C10H16O6S1
263.071367,94.8,C17H12O3
263.092497,683,C14H16O5
263.10373,3.3,C13H16N2O4
263.107753,6.3,C18H16O2
263.128882,321.3,C15H20O4
263.165267,18.4,C16H24O3
264.014975,26.9,C11H7N1O7
264.05136,141.6,C12H11N1O6
264.087746,52.8,C13H15N1O5
264.124131,1.5,C14H19N1O4
264.99899,269.5,C11H6O8
265.002361,9,C8H10O8S1
265.014247,49.6,C15H6O5
265.035376,1062.6,C12H10O7
265.050632,190.7,C16H10O4
265.071761,1053.4,C13H14O6
265.082995,10.3,C12H14N2O5
265.087017,109.8,C17H14O3
265.108146,827.7,C14H18O5
265.123403,3.5,C18H18O2
265.144532,173.4,C15H22O4
265.147903,487.1,C12H26O4S1
266.030625,110.8,C11H9N1O7
266.045881,11,C15H9N1O4
266.06701,147.9,C12H13N1O6
266.082266,3,C16H13N1O3
266.103396,15.8,C13H17N1O5
267.01464,733.9,C11H8O8
267.029897,246.4,C15H8O5
267.051026,1377.1,C12H12O7
267.062259,49.1,C11H12N2O6
267.066282,242.3,C16H12O4
267.087411,1546.5,C13H16O6
267.098645,3.7,C12H16N2O5
267.102667,103.3,C17H16O3
267.123797,516,C14H20O5
267.139053,6.6,C18H20O2
267.160182,35.9,C15H24O4
268.046275,184,C11H11N1O7
268.061531,39.7,C15H11N1O4
268.08266,105.3,C12H15N1O6
268.097916,3.5,C16H15N1O3
268.993905,215.8,C10H6O9
269.009161,134,C14H6O6
269.03029,1178.1,C11H10O8
269.045547,398.6,C15H10O5
269.066676,1997.8,C12H14O7
269.077909,25.5,C11H14N2O6
269.081932,227.4,C16H14O4
269.103061,1147,C13H18O6
269.118317,103.4,C17H18O3
269.139446,119,C14H22O5
269.154703,16.6,C18H22O2
270.040796,58.6,C14H9N1O5
270.061925,155.9,C11H13N1O7
270.077181,36,C15H13N1O4
270.09831,11.3,C12H17N1O6
270.988426,5,C13H4O7
271.009555,194.6,C10H8O9
271.024811,400.6,C14H8O6
271.04594,1572.1,C11H12O8
271.057174,33.2,C10H12N2O7
271.061196,450.2,C15H12O5
271.082326,1368.2,C12H16O7
