mz,int,formula
253.124366,12336531,C17H18O2
253.145492,20037018,C14H22O4
253.21827,48086448,C16H30O2
254.039726,6831813,C10H10O7 13C1
254.055003,6794954,C14H10O4 13C1
254.067989,12377806,C11H13N1O6
254.076114,15294161,C11H14O6 13C1
254.083233,7565011,C15H13N1O3
254.091401,5504726,C15H14O3 13C1
254.112507,14737117,C12H18O5 13C1
254.221605,7466755,C15H30O2 13C1
254.9921,6836239,C17H4O1S1
255.01563,14581783,C10H8O8
255.030882,49528860,C14H8O5
255.052002,86491176,C11H12O7
255.067281,61620264,C15H12O4
255.088401,118014000,C12H16O6
255.10367,30900278,C16H16O3
255.124796,32604222,C13H20O5
255.140039,10330179,C17H20O2
255.233931,131383400,C16H32O2
256.026148,7197060,C13H7N1O5
256.034227,7143815,C13H8O5 13C1
256.03869099999997,21021064,C9H11N3O4S1
256.047266,7225740,C10H11N1O7
256.055349,9601423,C10H12O7 13C1
256.062523,12845457,C14H11N1O4
256.070608,10518932,C14H12O4 13C1
256.091762,16114076,C11H16O6 13C1
256.107007,3881378,C15H16O3 13C1
256.128159,4596138,C12H20O5 13C1
256.237286,21610962,C15H32O2 13C1
257.010145,26772212,C13H6O6
257.031266,32146172,C10H10O8
257.046543,80003840,C14H10O5
257.067669,76006152,C11H14O7
257.082941,59196176,C15H14O4
257.10407,39699224,C12H18O6
257.11932,32604958,C16H18O3
257.140458,11060006,C13H22O5
257.155707,9552683,C17H22O2
258.013511,4039800,C12H6O6 13C1
258.034574,2825345,C9H10O8 13C1
258.04179,11306115,C13H9N1O5
258.049916,10396807,C13H10O5 13C1
258.054357,16172168,C9H13N3O4S1
258.071045,8324239,C10H14O7 13C1
258.078149,13116562,C14H13N1O4
258.086301,9393301,C14H14O4 13C1
258.107413,6083741,C11H18O6 13C1
258.122659,6567075,C15H18O3 13C1
258.989425,6944254,C12H4O7
259.025828,56280588,C13H8O6
259.046966,29230614,C10H12O8
259.062207,90162712,C14H12O5
259.083343,23823908,C11H16O7
259.098575,76006952,C15H16O4
259.119695,6620723,C12H20O6
259.134958,35767864,C16H20O3
260.021039,7432103,C12H7N1O6
260.029192,7223210,C12H8O6 13C1
260.033654,14362540,C8H11N3O5S1
260.050319,3370931,C9H12O8 13C1
260.057458,15615926,C13H11N1O5
260.065531,14165945,C13H12O5 13C1
260.093846,11855813,C14H15N1O4
260.101926,12158920,C14H16O4 13C1
260.138337,7149528,C15H20O3 13C1
261.005076,24693064,C12H6O7
261.026227,7375185,C9H10O9
261.04146,94226776,C13H10O6
261.062596,13855072,C10H14O8
261.077869,96782696,C14H14O5
261.114256,75614584,C15H18O4
261.150616,26364294,C16H22O3
262.008388,3733244,C11H6O7 13C1
262.03672,10816264,C12H9N1O6
262.044852,10554123,C12H10O6 13C1
262.049301,11021069,C8H13N3O5S1
262.073097,18156312,C13H13N1O5
262.081213,17173276,C13H14O5 13C1
262.109529,7543592,C14H17N1O4
262.117584,15985452,C14H18O4 13C1
262.154008,5491516,C15H22O3 13C1
263.020752,48155840,C12H8O7
263.035987,18549958,C16H8O4
263.057116,117951696,C13H12O6
263.072377,21875926,C17H12O3
263.093518,127585504,C14H16O5
263.129917,69848304,C15H20O4
263.166273,12496128,C16H24O3
264.024108,7646857,C11H8O7 13C1
264.039383,3258000,C15H8O4 13C1
264.052377,17223318,C12H11N1O6
264.06051,14356121,C12H12O6 13C1
264.075774,3722913,C16H12O3 13C1
264.088765,15863462,C13H15N1O5
264.096876,18484906,C13H16O5 13C1
264.133271,11939515,C14H20O4 13C1
265.000032,15585360,C11H6O8
265.015294,9670743,C15H6O5
265.036411,71684192,C12H10O7
265.051648,40390760,C16H10O4
265.072775,146722928,C13H14O6
265.088041,21811322,C17H14O3
